Organization,Drive Link,Collaboratory Profile,Title,First name,Last name
Ability360,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/e9a4203f-469d-4d74-6680-86297b55216a,President & CEO,Christopher ,Rodriguez
Aid to Adoption of Special Kids--AZ,https://drive.google.com/drive/folders/1EhHmQibgkvNc2uGmgcduoolfgRTwVBTP?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/c8e8df7c-6c1b-4a21-65fa-17027e598a86,Chief Executive Officer,Ron,Adelson
AllThrive 365 (formerly Foundation for Senior Living),,,President & CEO,"Tamara ""Tami""",Bohannon
Alzheimer's Assoc. Desert Southwest Chapter,https://drive.google.com/drive/folders/1ekh5beqh6JOEqwG1-wtt7a9jnZyq9Y42?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/20752c76-05fa-4faa-6e8e-aa6b557930c7,Executive Director,Terri,Spitz
"Area Agency on Aging, Region One",,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/d962ea2b-5d74-4b59-5eaa-b51395cdeb91,President & CEO,Mary Lynn,Kasunic
Arizona Center for African American Resources,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/b91ceec7-aca8-43d2-7e29-4b4378ac2c79,Executive Director,Roy Thomas,Dawson
Arizona Humane Society,https://drive.google.com/drive/folders/137GTqP3R_tfYCODhnklOsriwyMe7hH43?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/ef91f17b-9c49-4a08-587c-349dea388656,President & CEO,Steven,Hansen
Arizona Opera,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/f8cb441f-da1e-4e86-4c25-768ac467dfed,President & General Director,Brian,Demaris
Art Heals Arizona (formerly Free Arts for Abused Children),,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/ea24c63d-b9b1-4e40-793f-93baf531de8f,Executive Director,Matt ,Sandoval
Big Brothers Big Sister of Central Arizona ,https://drive.google.com/drive/folders/1gqV2BDcRE5xiD0yNCBeDRkcbVv7lXaB5?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/b94fb739-53b3-4221-46ad-3e9d1e591bd9,President &I CEO,Debbie ,Castillo-Smith
Boys and Girls Club of Greater Scottsdale ,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/42a02ebb-3dba-4f7a-6967-4012c482436a,President & CEO,Ivan ,Gilreath
Boys and Girls Club of the Valley,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/ef8c03bf-f97e-41ac-5885-a2d5dd67f573,Chief Executive Officer,Marcia,Mintz
Breakthrough T1D,,,Territory Executive,Michael,Simoni
Catholic Charities Community Service,https://drive.google.com/drive/folders/1kHYpDOFCcnJkntQTP2_1I6XhBlWYM6Xn?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/d6ee83ee-4124-49af-4412-3df1d63b392b,President & CEO,Paul,Mulligan
Child Crisis Arizona,https://drive.google.com/drive/folders/1SENnXbxPCngjpoII60_p-WCLEonRSA05?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/d2e2581e-31a4-406d-6531-7067c6f9c3ff,Chief Executive Officer,Torrie,Taj
Community Bridges,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/842c97b5-1247-4bb0-7e21-80975d8c1f0c,President & CEO,John F.,Hogeboom
Delivering Dreams of Arizona (formerly Assistance League),,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/a7f0292d-304f-423e-6ab5-a7cc485c8861,Chief Executive Officer,Aimee,Runyon
Education Forward Arizona,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/d8a4bf05-5417-4c5c-7d07-ce8f1677f2e1,President and CEO,Rich ,Nickel
Foundation for Blind Children,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/bc1ff403-0a5f-45e7-6ce3-ef1eb4aa9acd,Chief Executive Officer,Jared,Kittelson
Frank Lloyd Wright Foundation ,,,President & CEO,Joseph,Specter 
Friendly House,,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/ebf952ca-168f-450b-5816-8de933deb60d,President & CEO,Avein,Saaty-Tafoya
Habitat for Humanity Central Arizona,https://drive.google.com/drive/folders/1IrdKoKTBtR-iqTba7EPASKtdcDjT8-ER?usp=drive_link,https://he.cecollaboratory.com/collaboratory/W2XKZ2HI2/organizations/1c459b5a-684a-45c0-69ca-4bdb47e456ae,President & CEO,Todd,Rogers 
